f[Hz] Sig[-]
50.000 0.971
100.000 0.542
150.000 0.903
200.000 1.323
250.000 0.916
300.000 1.076
350.000 2.229
400.000 6.219
450.000 7.872
500.000 5.949
550.000 3.450
600.000 2.214
650.000 1.899
700.000 2.650
750.000 3.211
800.000 1.127
850.000 0.605
900.000 0.402
950.000 0.399
1000.000 0.509
1050.000 1.122
1100.000 1.016
1150.000 0.468
1200.000 0.429
1250.000 0.423
1300.000 0.488
1350.000 0.917
1400.000 4.129
1450.000 2.135
1500.000 1.108
1550.000 1.032
1600.000 1.142
1650.000 1.812
1700.000 3.918
1750.000 18.438
1800.000 3.979
1850.000 2.738
1900.000 2.554
1950.000 2.932
2000.000 3.848
2050.000 5.554
2100.000 7.073
2150.000 5.333
2200.000 4.091
2250.000 3.539
2300.000 3.598
2350.000 4.583
2400.000 9.247
2450.000 6.532
2500.000 2.953
2550.000 2.003
2600.000 1.689
2650.000 1.684
2700.000 2.292
2750.000 4.325
2800.000 9.681
2850.000 2.818
2900.000 1.771
2950.000 1.484
3000.000 1.676
3050.000 2.490
3100.000 6.222
3150.000 3.605
3200.000 1.457
3250.000 1.127
3300.000 1.057
3350.000 1.195
3400.000 1.717
3450.000 4.091
3500.000 2.637
3550.000 1.321
3600.000 0.999
3650.000 0.941
3700.000 1.190
3750.000 2.095
3800.000 5.714
3850.000 1.627
3900.000 0.923
3950.000 0.707
4000.000 0.729
4050.000 0.923
4100.000 1.614
4150.000 5.128
4200.000 1.494
4250.000 1.050
4300.000 0.641
4350.000 0.803
4400.000 1.329
4450.000 3.324
4500.000 11.510
4550.000 2.297
4600.000 1.736
4650.000 1.584
4700.000 1.658
4750.000 2.335
4800.000 4.744
4850.000 21.016
4900.000 3.057
4950.000 1.586
5000.000 1.392
5050.000 1.503
5100.000 2.093
5150.000 4.390
5200.000 2.690
5250.000 1.676
5300.000 1.083
5350.000 1.001
5400.000 1.119
5450.000 1.611
5500.000 4.036
5550.000 3.150
5600.000 1.322
5650.000 0.989
5700.000 0.920
5750.000 1.038
5800.000 1.864
5850.000 4.436
5900.000 1.946
5950.000 1.077
6000.000 0.802
6050.000 0.808
6100.000 0.996
6150.000 1.667
6200.000 5.982
6250.000 1.530
6300.000 0.926
6350.000 0.759
6400.000 0.771
6450.000 0.949
6500.000 2.036
6550.000 3.693
6600.000 1.273
6650.000 0.827
6700.000 0.695
6750.000 0.714
6800.000 1.056
6850.000 2.568
6900.000 3.738
6950.000 1.032
7000.000 0.698
7050.000 0.593
7100.000 0.652
7150.000 0.887
7200.000 1.737
7250.000 1.806
7300.000 1.019
7350.000 0.619
7400.000 0.572
7450.000 0.627
7500.000 1.049
7550.000 1.917
7600.000 1.674
7650.000 0.776
7700.000 0.561
7750.000 0.516
7800.000 0.558
7850.000 0.921
7900.000 2.176
7950.000 1.406
8000.000 0.618
8050.000 0.502
8100.000 0.462
8150.000 0.553
8200.000 0.907
8250.000 3.529
8300.000 0.957
8350.000 0.517
8400.000 0.431
8450.000 0.419
8500.000 0.485
8550.000 0.967
8600.000 2.177
8650.000 0.804
8700.000 0.485
8750.000 0.407
8800.000 0.410
8850.000 0.538
8900.000 1.005
8950.000 2.652
9000.000 0.719
9050.000 0.389
9100.000 0.340
9150.000 0.343
9200.000 0.441
9250.000 0.804
9300.000 1.281
9350.000 0.479
9400.000 0.343
9450.000 0.307
9500.000 0.302
9550.000 0.497
9600.000 1.202
9650.000 1.307
9700.000 0.440
9750.000 0.376
9800.000 0.319
9850.000 0.325
9900.000 0.463
9950.000 1.053
10000.000 1.266
10050.000 0.493
10100.000 0.318
10150.000 0.304
10200.000 0.352
10250.000 0.544
10300.000 1.633
10350.000 0.677
10400.000 0.292
10450.000 0.230
10500.000 0.217
10550.000 0.278
10600.000 0.450
10650.000 1.101
10700.000 0.548
10750.000 0.285
10800.000 0.230
10850.000 0.223
10900.000 0.268
10950.000 0.438
11000.000 1.098
11050.000 0.383
11100.000 0.237
11150.000 0.194
11200.000 0.198
11250.000 0.230
11300.000 0.497
11350.000 0.929
11400.000 0.415
11450.000 0.216
11500.000 0.161
11550.000 0.175
11600.000 0.226
11650.000 0.540
11700.000 0.884
11750.000 0.302
11800.000 0.217
11850.000 0.199
11900.000 0.212
11950.000 0.302
12000.000 0.567
